time,open,high,low,close,volume
2024-09-02 05:00:00,41571.45,41571.45,41537.45,41551.2,1493
2024-09-02 06:00:00,41550.7,41557.45,41532.2,41545.45,1160
2024-09-02 07:00:00,41545.45,41552.2,41527.45,41551.45,1095
2024-09-02 08:00:00,41551.45,41565.45,41542.7,41547.95,864
2024-09-02 09:00:00,41547.95,41554.45,41519.55,41520.55,1748
2024-09-02 10:00:00,41520.8,41530.55,41434.8,41490.55,4348
2024-09-02 11:00:00,41490.55,41535.55,41471.3,41526.55,2525
2024-09-02 12:00:00,41526.55,41545.05,41515.55,41534.8,1713
2024-09-02 13:00:00,41535.55,41538.55,41506.55,41508.55,1050
2024-09-02 14:00:00,41509.8,41533.3,41509.8,41531.05,1092
2024-09-02 15:00:00,41531.55,41543.3,41524.55,41539.55,1210
2024-09-02 16:00:00,41539.55,41546.3,41515.8,41517.8,2823
2024-09-02 17:00:00,41518.05,41578.05,41481.8,41566.3,4247
2024-09-02 18:00:00,41566.3,41567.8,41532.8,41544.8,2709
2024-09-02 19:00:00,41544.8,41561.3,41525.8,41559.8,1714
2024-09-03 01:00:00,41555.93,41559.18,41499.93,41509.93,1556
2024-09-03 02:00:00,41510.18,41519.18,41483.68,41506.18,2368
2024-09-03 03:00:00,41506.18,41522.68,41494.43,41507.68,2091
2024-09-03 04:00:00,41507.93,41536.68,41507.68,41533.93,1753
2024-09-03 05:00:00,41533.68,41535.68,41497.68,41500.93,1307
2024-09-03 06:00:00,41500.68,41502.68,41467.18,41501.18,2507
2024-09-03 07:00:00,41501.18,41501.18,41485.43,41487.18,963
2024-09-03 08:00:00,41487.43,41512.68,41486.68,41511.93,1504
2024-09-03 09:00:00,41511.68,41524.78,41479.78,41507.28,2613
2024-09-03 10:00:00,41507.78,41541.28,41507.78,41532.78,3196
2024-09-03 11:00:00,41532.78,41536.78,41429.78,41429.78,3734
2024-09-03 12:00:00,41428.78,41440.78,41371.03,41373.78,5177
2024-09-03 13:00:00,41373.78,41379.03,41338.53,41372.78,4487
2024-09-03 14:00:00,41372.78,41391.78,41345.03,41364.78,3639
2024-09-03 15:00:00,41365.28,41379.78,41331.78,41336.03,3765
2024-09-03 16:00:00,41335.78,41448.28,41221.03,41310.53,12786
2024-09-03 17:00:00,41310.53,41310.53,41058.78,41110.53,17937
2024-09-03 18:00:00,41111.03,41187.03,41090.03,41118.03,14451
2024-09-03 19:00:00,41117.53,41166.03,41058.53,41067.28,14013
2024-09-03 20:00:00,41066.78,41150.53,41060.78,41064.03,11015
2024-09-03 21:00:00,41064.03,41065.03,40936.53,40952.03,10038
2024-09-03 22:00:00,40952.03,41002.53,40786.03,40956.18,12376
2024-09-03 23:00:00,40950.18,40964.68,40903.43,40950.18,4906
2024-09-04 01:00:00,40941.32,40952.82,40896.32,40926.32,3141
2024-09-04 02:00:00,40926.32,40944.32,40890.32,40921.82,2821
2024-09-04 03:00:00,40921.82,40954.32,40789.32,40806.32,6839
2024-09-04 04:00:00,40806.32,40892.07,40784.07,40860.82,7220
2024-09-04 05:00:00,40860.32,40882.07,40825.07,40836.82,5324
2024-09-04 06:00:00,40837.07,40860.57,40798.57,40816.82,3900
2024-09-04 07:00:00,40816.82,40845.82,40798.82,40806.82,2967
2024-09-04 08:00:00,40806.57,40823.32,40781.32,40792.82,4712
2024-09-04 09:00:00,40792.07,40844.42,40777.92,40779.92,5583
2024-09-04 10:00:00,40779.92,40900.42,40779.92,40882.67,8434
2024-09-04 11:00:00,40883.42,40922.42,40830.42,40858.67,5357
2024-09-04 12:00:00,40858.42,40892.42,40840.42,40864.42,3823
2024-09-04 13:00:00,40864.42,40880.42,40838.42,40858.42,3281
2024-09-04 14:00:00,40857.17,40903.92,40850.92,40866.67,3958
2024-09-04 15:00:00,40867.42,40913.42,40859.42,40899.42,4756
2024-09-04 16:00:00,40899.42,41087.67,40879.67,41055.92,11967
2024-09-04 17:00:00,41056.42,41157.67,40931.92,41156.67,18164
2024-09-04 18:00:00,41156.17,41186.17,40976.92,41002.67,14670
2024-09-04 19:00:00,41003.17,41040.67,40934.67,40961.42,12966
